Latitude,Longitude,Food Scrap Drop-off Site Name,Location,Hours
40.79862,-73.94162,116th Street,116th & Lexington Ave - NW Corner,"Wednesday
7:30 AM to 10:30 AM"
40.80899,-73.94378,127 Street & Malcolm X Food Scrap Drop Off Site,77 West 127th Street between Malcolm X Boulevard and 5th Ave,"Daily
Dusk to Dawn"
40.82138,-73.95413,137th Street - City College,137th St & Broadway - SW (Montefiore Square),"Wednesday
7:15 AM to 11:00 AM"
40.82365,-73.94385,145th Street,145th & Edgecombe Ave - NE Corner (Jackie Robinson Park Entrance),"Wednesday
6:30 AM to 10:00 AM"
40.81856,-73.92731,149th St - Grand Concourse,"Grand Concourse, 149th Street - SE Corner","Friday
7:15 AM to 11:15 AM"
40.73121,-73.98336,14th Street Y,344 E 14th Street,"Tue, Thu, Sun
7:00 AM to 9:00 PM"
40.83406,-73.94488,157th Street,"157th, Broadway, Riverside Drive (Ilka Tanya Payan Park)","Wednesday
7:00 AM to 11:00 AM"
40.82781,-73.92593,161st Street - Yankee Stadium,"161st, River Ave - NE Corner","Friday
7:30 AM to 11:15 AM"
40.84595,-73.93781,175th Street Greenmarket,"175th Street between Wadsworth Avenue and Broadway, New York, NY","Thursday
8:00 AM to 2:00 PM"
40.85213,-73.93782,181st Street,Fort Washington Ave btw. 183rd & 185th - W (Bennett Park Entrance),"Wednesday
6:45 AM to 11:15 AM"
40.63547,-74.0228,4th Avenue Presbyterian Church,6753 4th Avenue,"10:00 AM to 5:00 PM
Friday 5:00 PM to Dusk
Saturday Dawn to 12:00 PM"
40.76912,-73.98856,57th St Greenmarket,10th Avenue & West 57th Street,"Wednesday 8:00 AM to 1:00 PM
Saturday 8:00 PM to 2:00 PM"
40.67745,-73.97235,7 Ave B/Q,Park Pl and Carlton Ave,"Wednesday
8:00 AM to 10:00 AM"
40.78195,-73.97548,79th St Greenmarket,Columbus Avenue and 79th Street,"Sunday
9:00 AM to 1:00 PM"
40.77429,-73.95126,82nd St Greenmarket [St. Stevens],82nd Street between 1st and York Avenues,"Saturday
9:00 AM to 1:00 PM"
40.78098,-73.94624,92nd Street Greenmarket,"1st Ave between 92nd and 93rd St,New York,NY,10128","Sunday
9:00 AM to 1:00 PM"
40.78587,-73.95093,96th Street,96th Street & Lexington Ave - SE Corner (Samuel Seabury Playground),"Wednesday
7:15 AM to 10:30 AM"
40.79356,-73.96702,97th Street Greenmarket,"97th St between Columbus & Amsterdam, Manhattan","Friday
8:00 AM to 2:00 PM"
40.73755,-74.00483,Abingdon Square Greenmarket,"West 12 Street and 8 Avenue,New York,NY,10014","Saturday
8:00 AM to 1:00 PM"
40.77238,-73.92874,Astoria Library,"14-01 Astoria Blvd, Astoria, NY 11102","Monday 12:00 PM to 8:00 PM
Tuesday 1:00 PM to 6:00 PM
Wednesday 10:00 AM to 6:00 PM
Thursday 12:00 PM to 8:00 PM
Friday 10:00 AM to 6:00 PM
Saturday 10:00 AM to 5:00 PM"
40.79037,-73.976,B'nai Jeshurun Community House,270 West 89th Street,"Mon, Thu 7:00 AM to 9:00 PM
Tue, Wed, Fri 7:00 AM to 9:00 AM"
40.87093,-73.88398,Bainbridge Avenue Community Garden,"2980 Bainbridge Avenue, Bronx, NY 10458","Wednesday
4:00 PM to 7:00 PM"
40.61728,-74.03359,Bay Ridge Greenmarket,"3rd Ave & 95th Street, Brooklyn, NY 11209","Saturday
8:00 AM to 1:00 PM"
40.63334,-73.88597,Bay View Houses Farm,5955 Shore Parkway,"Daily
9:00 AM to 5:00 PM"
40.67172,-73.99671,Big Reuse Brooklyn,"One 12th St, Brooklyn, NY, 11215","Thu, Fri
10:00 AM to 6:00 PM"
40.70472,-74.01353,Bowling Green Greenmarket,"Broadway at Battery Place,New York,NY, 10004","Tuesday
8:00 AM to 2:00 PM"
40.82737,-73.92281,Bronx Borough Hall Greenmarket,"Grand Concourse and 161 St, Bronx, NY, 10451","Tuesday
8:00 AM to 2:00 PM"
40.86143,-73.90024,Bronx Cooperative Development Initiative,2431 Morris Ave,"Wednesday
10:00 AM to 4:00 PM"
40.83261,-73.91875,BronxWorks Fresh Food Box,1130 Grand Concourse,"Thursday
2:00 PM to 6:00 PM"
40.80756,-73.91923,Brook Ave,"138th, Brook Ave - NW Corner","Friday
6:45 AM to 10:45 AM"
40.8096,-73.9187,Brook Park,494 East 141 St.,"Saturday
10:00 AM to 6:00 PM"
40.69372,-73.99046,Brooklyn Borough Hall Greenmarket,"Court St & Montague St, Brooklyn, NY 11201","Thursday 8:00 AM to 2:00 PM
Saturday 8:00 AM to 4:00 PM"
40.752,-73.92532,Brooklyn Grange,37-19 Northern Blvd Roof,10:00 AM to 4:00 PM
40.75418,-73.9846,Bryant Park,6th Avenue and 41st Sreet,"Mon-Fri
12:30 PM to 2:30 PM"
40.69761,-73.9137,Bushwick Grows! Community Garden,1474 Gates Ave.,10:00 AM to 1:00 PM
40.72445,-73.97887,Carmen Pabon del Amanecer Community Garden,115 Avenue C,"Sat, Sun
10:00 AM to 5:00 PM"
40.68054,-73.99465,Carroll Gardens Greenmarket,"Carroll St. btwn Smith & Court Sts, Brooklyn, NY 11231","Sunday
8:00 AM to 1:00 PM"
40.80037,-73.95834,Cathedral Parkway (110th St),110th & Central Park West - SW Corner,"Wednesday
6:45 AM to 10:15 AM"
40.73363,-74.00278,Christopher Street,7th Avenue and Christopher St - SW Corner,"Tuesday
8:00 AM to 11:00 AM"
40.74927,-73.99882,Church of the Holy Apostles,296 Ninth Avenue,"Daily
Dusk to Dawn"
40.87981,-73.90658,Church of the Mediator/La Iglesia El Mediador,W 231 St & Kingsbridge Ave,"Tuesday
8:00 AM to 10:00 AM"
40.80671,-73.96485,Columbia University Greenmarket,"Broadway at West 114 St,New York,NY,10025","Thursday :00 AM to 3:00 PM
Sunday 8:00 AM to 1:00 PM"
40.72293,-73.98864,Commuter Composting at 1st Ave and 1st St.,First Avenue between Houston and First Street (West Side),"Mon, Wed, Fri
8:00 AM to 11:00 AM"
40.754,-73.94243,Commuter Composting at 21st Street F train,NW Corner of 21st street at 41st Ave,"Tuesday
8:00 AM to 11:00 AM"
40.74529,-73.99849,Commuter Composting at 23rd Street C/E,"West 23rd Street and 8th Avenue -SW Corner, New York, NY 10011","Tue, Thu
8:00 AM to 11:00 AM"
40.72961,-73.8622,Commuter Composting at 63rd Dr. M/R,"96-14 Queens Blvd, Rego Park, NY 11374","Monday
7:30 AM to 9:30 AM"
40.70999,-73.81996,Commuter Composting at Briarwood E/F,Briarwood E/F Subway Station Entrance (North Side of Queens Boulevard),"Tuesday
7:30 AM to 9:30 AM"
40.76157,-73.92551,Commuter Composting at Broadway N/W,"32-15 31st St, Astoria, NY 11106 ?","Tuesday
8:00 AM to 11:00 AM"
40.71405,-73.99019,Commuter Composting at East Broadway & Rutgers Street,"East Broadway & Rutgers Street (SE corner), Manhattan","Wednesday
8:00 AM to 11:00 AM"
40.73715,-73.87709,Commuter Composting at Grand Ave Newtown M/R,"86-55 Broadway, Queens, NY 11373","Monday
7:30 AM to 9:30 AM"
40.71595,-73.98672,Commuter Composting at Grand Street & Clinton Street,"Grand Street & Clinton Street (SW corner), Manhattan","Mon,  Fri
8:00 AM to 11:00 AM"
40.71304,-73.82981,Commuter Composting at Kew Gardens E/F,"Kew Gardens Road and 81st. Avenue, Kew Gardens 11415","Tuesday
7:30 AM to 9:30 AM"
40.74273,-73.95405,Commuter Composting at Vernon Jackson 7,"Vernon Blvd & 50th Ave, Long Island City, NY 11101 ?","Tuesday
8:00 AM to 11:00 AM"
40.64405,-74.10175,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden,"Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden
 1000 Richmond Terrace","Daily
Dusk to Dawn"
40.74987,-73.86272,Corona Greenmarket,"Corona Plaza, Roosevelt Ave at 103 Street, Queens","Friday
8:00 AM to 3:00 PM"
40.64082,-73.9653,Cortelyou Greenmarket,"Cortelyou Rd at Rugby Rd, Brooklyn, NY, 11226","Sunday
8:00 AM to 1:00 PM"
40.72465,-73.98259,Creative Little Garden,530 East 6th Street,"Daily
Dusk to Dawn"
40.753,-73.96989,Dag Hammarskjold Plaza Greenmarket,"East 47 St at 2 Ave,New York,NY, 10017","Wednesday
8:00 AM to 3:00 PM"
40.72544,-73.97971,DeColores Community Yard,313 E 8th St,"Daily
Dusk to Dawn"
40.77476,-73.91251,Ditmars Blvd N/W Commuter Drop-Off,"22-75 31st St, Astoria, NY 11102 (Closest approximation, there is no address for this stretch of sidewalk)","Tuesday
8:00 AM to 11:00 AM"
40.83402,-73.94226,Dorothy K. McGowan Memorial Garden,513 West 158th Street,"Sat,  Sun
1:00 PM to 4:00 PM"
40.86506,-73.92841,Dyckman Street,"Broadway, Riverside Drive, Dyckman Street (Anne Loftus Playground/Fort Tyron Park Entrance)","Wednesday
6:30 AM to 11:30 AM"
40.68695,-74.02043,"Earth Matter, Compost Learning Center","758 Enright Rd, New York, NY 10004","Sat, Sun
12:00 PM to 4:00 PM"
40.64821,-73.9771,East 4th Street Community Garden,173 East 4th Street,"Wednesday
4:00 PM to 6:00 PM"
40.71099,-73.97903,East River Park Compost Yard,"East River Park Compost Park (coordinates: 40.711055, -73.978847)","Daily
Dusk to Dawn"
40.72939,-73.98302,East Side Outside Community Garden,415 East 11th St.,"Daily
Dusk to Dawn"
40.59537,-73.77673,Edgemere Farm,385 Beach 45th St,"Daily
Dusk to Dawn"
40.72811,-73.97945,El Sol Brilliante- Children's Garden,544 East 12th St.,"Daily
Dusk to Dawn"
40.68026,-73.88298,Essex Community Garden,3030 Fulton Street,"Wednesday
5:00 PM to 7:00 PM"
40.80194,-73.95099,FACES NY at 115th,"121 West 115th, 10026","Mon, Wed
10:00 AM to 2:00 PM"
40.80216,-73.95074,FACES NY at 116th,"114 West 116th, 10026","Mon, Wed
10:00 AM to 2:00 PM"
40.8617,-73.89138,Fordham Plaza Greenmarket,E Fordham Rd btw Webster Ave & Third Ave - S,"Friday
11:30 AM to 1:00 PM"
40.72186,-73.84648,Forest Hills Greenmarket,"South side of Queens Blvd at 70th Avenue, Queens","Sunday
8:00 AM to 2:00 PM"
40.68962,-73.97312,Fort Greene Greenmarket,"Washington Park between Willoughby Avenue & Dekalb Avenue, Brooklyn, NY 11201","Saturday
8:00 AM to 3:00 PM"
40.84216,-73.94228,Fort Washington Greenmarket,"168th Street at Fort Washington,New York,NY 10032","TUesday
8:00 AM to 3:00 PM"
40.67066,-73.95798,Franklin Avenue 2/3/4/5,Franklin Avenue & Eastern Parkway,"Wednesday
8:00 AM to 10:00 AM"
40.8044,-73.95605,Garden of Love,302 West 116 Street,"Tuesday 4:00 PM to 6:00 PM
Thursday 4:00 PM to 6:00 PM
Saturday 10:00 AM to 6:00 PM
Sunday 10:00 AM to 6:00 PM"
40.68695,-74.02043,Governors Islands Zero Waste Stations,Several locations throughout Governors Island,"Daily
11:00 AM to 5:00 PM"
40.67256,-73.96987,Grand Army Plaza Greenmarket,"Prospect Park West & Plaza Street West, Brooklyn, 11238","Saturday
8:00 AM to 3:30 PM"
40.72421,-73.97742,Green Oasis Garden,"368 East 8 Street, NY 10009","Daily
Dusk to Dawn"
